user_id,transaction_count,total_spent,avg_transaction_amount,first_transaction_time,last_transaction_time
2416,34,9925.46,291.925294117647,2023-01-04 22:19:00,2023-12-17 11:32:00
4840,36,9912.67,275.3519444444444,2023-01-03 02:15:00,2023-12-18 14:35:00
4483,35,9846.060000000001,281.31600000000003,2023-01-05 13:18:00,2023-12-28 22:05:00
4714,36,9653.030000000002,268.1397222222223,2023-01-08 05:12:00,2023-12-21 08:51:00
3675,34,9601.370000000004,282.3932352941178,2023-01-07 05:08:00,2023-12-19 19:27:00
3033,34,9600.8,282.3764705882353,2023-01-07 18:35:00,2023-12-31 05:11:00
3233,33,9553.25,289.49242424242425,2023-01-02 00:44:00,2023-12-18 11:51:00
4720,35,9462.559999999998,270.35885714285706,2023-01-01 08:37:00,2023-12-28 03:37:00
676,34,9447.019999999999,277.85352941176467,2023-02-04 07:10:00,2023-12-31 07:37:00
2424,34,9293.320000000002,273.3329411764706,2023-01-18 08:27:00,2023-12-23 13:30:00
4432,29,9290.149999999998,320.3499999999999,2023-02-12 03:21:00,2023-12-06 15:42:00
4440,30,9202.98,306.76599999999996,2023-01-26 20:26:00,2023-11-18 23:10:00
3778,29,9194.41,317.0486206896552,2023-01-03 10:02:00,2023-11-16 08:39:00
1621,32,9190.429999999997,287.2009374999999,2023-01-03 12:39:00,2023-11-28 06:41:00
4045,31,9178.630000000001,296.08483870967746,2023-01-15 06:34:00,2023-12-25 09:32:00
4571,34,9123.52,268.3388235294118,2023-01-09 19:31:00,2023-12-31 03:41:00
3295,31,9102.3,293.6225806451613,2023-01-02 16:00:00,2023-12-31 12:12:00
2157,35,9067.529999999997,259.0722857142856,2023-01-11 14:25:00,2023-12-30 16:53:00
107,34,9028.33,265.53911764705884,2023-01-22 03:56:00,2023-12-21 19:51:00
3066,27,9021.16,334.11703703703705,2023-02-11 15:41:00,2023-12-22 05:04:00
